date,direction,speed
2017-12-27,64,14.0
2017-12-28,113,11.0
2017-12-29,107,11.0
2017-12-30,156,12.0
2017-12-31,149,10.0
2018-01-01,163,9.0
2018-01-02,164,8.0
2018-01-03,205,9.0
2018-01-04,168,11.0
2018-01-05,151,10.0
2018-01-06,154,11.0
2018-01-07,217,12.0
2018-01-08,169,12.0
2018-01-09,136,11.0
2018-01-10,154,11.0
2018-01-11,150,10.0
2018-01-12,156,8.0
2018-01-13,162,9.0
2018-01-14,154,10.0
2018-01-15,157,9.0
2018-01-16,153,8.0
2018-01-17,150,8.0
2018-01-18,159,9.0
2018-01-19,155,12.0
2018-01-20,149,10.0
2018-01-21,148,10.0
2018-01-22,153,10.0
2018-01-23,220,11.0
2018-01-24,208,14.0
2018-01-25,163,12.0
2018-01-26,148,9.0
2018-01-27,157,9.0
2018-01-28,176,10.0
2018-01-29,145,9.0
2018-01-30,117,10.0
2018-01-31,157,11.0
2018-02-01,156,13.0
2018-02-02,155,10.0
2018-02-03,155,9.0
2018-02-04,153,9.0
2018-02-05,145,10.0
2018-02-06,145,11.0
2018-02-07,92,11.0
2018-02-08,216,11.0
2018-02-09,249,11.0
2018-02-10,181,9.0
2018-02-11,204,9.0
2018-02-12,250,14.0
2018-02-13,338,17.0
2018-02-14,158,10.0
2018-02-15,163,10.0
2018-02-16,155,10.0
2018-02-17,171,11.0
2018-02-18,125,9.0
2018-02-19,176,9.0
2018-02-20,167,10.0
2018-02-21,166,10.0
2018-02-22,168,10.0
2018-02-23,165,9.0
2018-02-24,166,9.0
2018-02-25,155,11.0
2018-02-26,159,10.0
2018-02-27,157,9.0
2018-02-28,160,10.0
2018-03-01,161,9.0
2018-03-02,160,9.0
2018-03-03,170,9.0
2018-03-04,214,9.0
2018-03-05,204,10.0
2018-03-06,166,9.0
2018-03-07,177,9.0
2018-03-08,167,9.0
2018-03-09,220,10.0
2018-03-10,171,10.0
2018-03-11,171,10.0
2018-03-12,179,9.0
2018-03-13,177,10.0
2018-03-14,195,11.0
2018-03-15,248,9.0
2018-03-16,147,10.0
2018-03-17,187,10.0
2018-03-18,269,9.0
2018-03-19,284,12.0
2018-03-20,283,13.0
2018-03-21,280,12.0
2018-03-22,280,14.0
2018-03-23,332,16.0
2018-03-24,292,15.0
2018-03-25,179,8.0
2018-03-26,212,11.0
2018-03-27,226,9.0
2018-03-28,249,8.0
2018-03-29,252,8.0
2018-03-30,236,8.0
2018-03-31,270,10.0
2018-04-01,231,10.0
2018-04-02,259,9.0
2018-04-03,238,10.0
2018-04-04,277,9.0
2018-04-05,240,8.0
2018-04-06,251,7.0
2018-04-07,227,10.0
2018-04-08,245,8.0
2018-04-09,201,8.0
2018-04-10,228,9.0
2018-04-11,197,8.0
2018-04-12,236,10.0
2018-04-13,245,8.0
2018-04-14,281,10.0
2018-04-15,264,8.0
2018-04-16,248,8.0
2018-04-17,248,8.0
2018-04-18,286,9.0
2018-04-19,233,9.0
2018-04-20,294,11.0
2018-04-21,197,12.0
2018-04-22,239,10.0
2018-04-23,250,11.0
2018-04-24,317,11.0
2018-04-25,264,10.0
2018-04-26,285,13.0
2018-04-27,242,14.0
2018-04-28,268,12.0
2018-04-29,310,11.0
2018-04-30,298,11.0
2018-05-01,306,11.0
2018-05-02,298,11.0
2018-05-03,253,9.0
2018-05-04,212,8.0
2018-05-05,235,8.0
2018-05-06,220,6.0
2018-05-07,263,8.0
2018-05-08,296,11.0
2018-05-09,265,10.0
2018-05-10,204,8.0
2018-05-11,227,7.0
2018-05-12,214,7.0
2018-05-13,220,9.0
2018-05-14,306,10.0
2018-05-15,293,11.0
2018-05-16,282,10.0
2018-05-17,227,6.0
2018-05-18,220,5.0
2018-05-19,257,8.0
2018-05-20,266,10.0
2018-05-21,281,10.0
2018-05-22,239,9.0
2018-05-23,306,13.0
2018-05-24,306,18.0
2018-05-25,324,20.0
2018-05-26,321,19.0
2018-05-27,320,18.0
2018-05-28,316,20.0
2018-05-29,317,21.0
2018-05-30,295,13.0
2018-05-31,235,9.0
2018-06-01,185,7.0
2018-06-02,185,6.0
2018-06-03,195,5.0
2018-06-04,169,6.0
2018-06-05,173,10.0
2018-06-06,191,11.0
2018-06-07,214,10.0
2018-06-08,254,21.0
2018-06-09,267,25.0
2018-06-10,271,23.0
2018-06-11,270,22.0
2018-06-12,259,20.0
2018-06-13,264,18.0
2018-06-14,267,13.0
2018-06-15,242,11.0
2018-06-16,212,8.0
2018-06-17,227,9.0
2018-06-18,230,16.0
2018-06-19,231,13.0
2018-06-20,227,17.0
2018-06-21,295,18.0
2018-06-22,284,11.0
