date,direction,speed
2013-10-26,319,17.0
2013-10-27,279,16.0
2013-10-28,245,7.0
2013-10-29,191,10.0
2013-10-30,254,8.0
2013-10-31,290,11.0
2013-11-01,315,11.0
2013-11-02,209,8.0
2013-11-03,243,7.0
2013-11-04,324,13.0
2013-11-05,308,13.0
2013-11-06,221,12.0
2013-11-07,228,19.0
2013-11-08,301,14.0
2013-11-09,194,10.0
2013-11-10,233,22.0
2013-11-11,248,15.0
2013-11-12,267,9.0
2013-11-13,307,12.0
2013-11-14,212,9.0
2013-11-15,250,14.0
2013-11-16,333,13.0
2013-11-17,243,8.0
2013-11-18,266,9.0
2013-11-19,264,9.0
2013-11-20,255,10.0
2013-11-21,266,19.0
2013-11-22,269,12.0
2013-11-23,263,10.0
2013-11-24,284,10.0
2013-11-25,164,20.0
2013-11-26,277,25.0
2013-11-27,230,17.0
2013-11-28,266,22.0
2013-11-29,239,14.0
2013-11-30,260,11.0
2013-12-01,268,13.0
2013-12-02,267,12.0
2013-12-03,191,7.0
2013-12-04,83,5.0
2013-12-05,263,7.0
2013-12-06,261,13.0
2013-12-07,308,15.0
2013-12-08,298,10.0
2013-12-09,227,11.0
2013-12-10,228,22.0
2013-12-11,243,15.0
2013-12-12,278,20.0
2013-12-13,238,23.0
2013-12-14,273,16.0
2013-12-15,297,25.0
2013-12-16,300,26.0
2013-12-17,303,14.0
2013-12-18,294,9.0
2013-12-19,98,11.0
2013-12-20,168,20.0
2013-12-21,286,12.0
2013-12-22,299,14.0
2013-12-23,273,8.0
2013-12-24,287,15.0
2013-12-25,277,13.0
2013-12-26,261,7.0
2013-12-27,307,17.0
2013-12-28,273,28.0
2013-12-29,265,20.0
2013-12-30,239,18.0
2013-12-31,250,13.0
2014-01-01,251,20.0
2014-01-02,278,22.0
2014-01-03,242,9.0
2014-01-04,282,15.0
2014-01-05,306,13.0
2014-01-06,284,15.0
2014-01-07,253,9.0
2014-01-08,261,10.0
2014-01-09,290,15.0
2014-01-10,302,19.0
2014-01-11,287,14.0
2014-01-12,248,13.0
2014-01-13,298,21.0
2014-01-14,296,14.0
2014-01-15,311,8.0
2014-01-16,280,11.0
2014-01-17,289,12.0
2014-01-18,288,8.0
2014-01-19,309,21.0
2014-01-20,219,10.0
2014-01-21,299,13.0
2014-01-22,307,12.0
2014-01-23,304,17.0
2014-01-24,244,7.0
2014-01-25,226,10.0
2014-01-26,269,26.0
2014-01-27,296,14.0
2014-01-28,239,16.0
2014-01-29,285,18.0
2014-01-30,218,16.0
2014-01-31,290,31.0
2014-02-01,238,7.0
2014-02-02,200,11.0
2014-02-03,226,8.0
2014-02-04,300,18.0
2014-02-05,297,27.0
2014-02-06,281,16.0
2014-02-07,311,12.0
2014-02-08,111,16.0
2014-02-09,292,26.0
2014-02-10,276,12.0
2014-02-11,273,12.0
2014-02-12,300,18.0
2014-02-13,306,16.0
2014-02-14,168,9.0
2014-02-15,85,35.0
2014-02-16,305,31.0
2014-02-17,300,24.0
2014-02-18,297,17.0
2014-02-19,306,15.0
2014-02-20,304,9.0
2014-02-21,290,15.0
2014-02-22,293,13.0
2014-02-23,291,9.0
2014-02-24,302,7.0
2014-02-25,279,13.0
2014-02-26,251,7.0
2014-02-27,203,11.0
2014-02-28,287,15.0
2014-03-01,185,7.0
2014-03-02,199,11.0
2014-03-03,246,15.0
2014-03-04,229,12.0
2014-03-05,232,14.0
2014-03-06,298,27.0
2014-03-07,278,21.0
2014-03-08,280,25.0
2014-03-09,239,10.0
2014-03-10,303,21.0
2014-03-11,282,20.0
2014-03-12,188,9.0
2014-03-13,151,7.0
2014-03-14,308,18.0
2014-03-15,295,14.0
2014-03-16,249,13.0
2014-03-17,234,8.0
2014-03-18,219,14.0
2014-03-19,240,12.0
2014-03-20,111,14.0
2014-03-21,308,19.0
2014-03-22,283,19.0
2014-03-23,275,15.0
2014-03-24,262,12.0
2014-03-25,233,13.0
2014-03-26,259,13.0
